name,sex,born,height,weight,team,noc,games,year,season,city,sport,event,medal,athlete_id
Mohammad Khan,M,1 May 1911,,,Afghanistan,AFG,1936 Summer Olympics,1936,Summer,Berlin,Athletics,"100 metres, Men",,64259
Mohammad Khan,M,1 May 1911,,,Afghanistan,AFG,1936 Summer Olympics,1936,Summer,Berlin,Athletics,"Long Jump, Men",,64259
Mohammad Khan,M,1 May 1911,,,Afghanistan,AFG,1936 Summer Olympics,1936,Summer,Berlin,Hockey,"Hockey, Men",,64259
Abdul Rahim,M,11 February 1913,,,Afghanistan,AFG,1936 Summer Olympics,1936,Summer,Berlin,Athletics,"Shot Put, Men",,64260
Abdul Hadi Shekaib,M,27 April 1940 in Kabul (AFG),178,68,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"100 metres, Men",,64261
Abdul Hadi Shekaib,M,27 April 1940 in Kabul (AFG),178,68,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"4 × 100 metres Relay, Men",,64261
Ali Zaid,M,2 June 1940 in Kabul (AFG),168,58,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"200 metres, Men",,64265
Ali Zaid,M,2 June 1940 in Kabul (AFG),168,58,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"4 × 100 metres Relay, Men",,64265
Ali Zaid,M,2 June 1940 in Kabul (AFG),168,58,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"Long Jump, Men",,64265
Habib Sayed,M,18 December 1936 in Kabul (AFG),170,58,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"400 metres, Men",,64262
Habib Sayed,M,18 December 1936 in Kabul (AFG),170,58,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"400 metres Hurdles, Men",,64262
Habib Sayed,M,18 December 1936 in Kabul (AFG),170,58,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"4 × 100 metres Relay, Men",,64262
Abdul Ghafar Ghafoori,M,15 September 1937 in Kabul (AFG),172,70,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"800 metres, Men",,64257
Abdul Ghafar Ghafoori,M,15 September 1937 in Kabul (AFG),172,70,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"1,500 metres, Men",,64257
Abdul Ghafar Ghafoori,M,15 September 1937 in Kabul (AFG),172,70,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"4 × 100 metres Relay, Men",,64257
Abdul Wardak,M,15 August 1940 in Kabul (AFG),179,75,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"110 metres Hurdles, Men",,64263
Abdul Wardak,M,15 August 1940 in Kabul (AFG),179,75,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Athletics,"Javelin Throw, Men",,64263
Faiz Mohammad Khakshar,M,6 August 1942 in Kabul (AFG),162,52,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Wrestling,"Flyweight, Freestyle, Men",,57073
Faiz Mohammad Khakshar,M,6 August 1942 in Kabul (AFG),162,52,Afghanistan,AFG,1964 Summer Olympics,1964,Summer,Tokyo,Wrestling,"Flyweight, Freestyle, Men",,57073
Mohammad Ibrahim Kederi,M,10 August 1940 in Kabul (AFG),166,62,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Wrestling,"Featherweight, Freestyle, Men",,57072
Amir Jan Khalunder,M,20 November 1924 in Kabul (AFG),166,66,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Wrestling,"Lightweight, Freestyle, Men",,57074
Sultan Mohammad Dost,M,10 May 1932 in Kabul (AFG),168,73,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Wrestling,"Welterweight, Freestyle, Men",,57068
Mohammad Asif Khokan,M,10 June 1936 in Kabul (AFG),171,78,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Wrestling,"Middleweight, Freestyle, Men",,57076
Ghulam Mohiddin Gunga,M,20 June 1934 in Kabul (AFG),168,81,Afghanistan,AFG,1960 Summer Olympics,1960,Summer,Roma,Wrestling,"Light-Heavyweight, Freestyle, Men",,57069
